,Unnamed: 0,Unnamed: 0.1,Lex,Example,ConstrPattern,valid,args,mask_roberta,args_roberta
10,10,11080,вносить,"['Новый начальник внес в работу страсть.', 'Рождение нового ребенка внесло в семью раздоры.', 'Я бы хотел внести ясность в этот вопрос.', 'Неожиданным ударом с флангов наши войска внесли замешательство в ряды противника.', 'Он во все вносит путаницу.', 'Этот человек обладал удивительным свойством вносить в любой коллектив разлад и смуту.']",Snom V Sacc в + Sacc,<extra_id_0> наши войска внесли .,"['и', ', кои', 'на', ',', 'во']",<mask> наши войска внесли .,"['Это', 'Все', 'И', 'В', 'Но', 'Там', 'и', 'Вот', 'А', 'Здесь']"
11,11,11080,вносить,"['Новый начальник внес в работу страсть.', 'Рождение нового ребенка внесло в семью раздоры.', 'Я бы хотел внести ясность в этот вопрос.', 'Неожиданным ударом с флангов наши войска внесли замешательство в ряды противника.', 'Он во все вносит путаницу.', 'Этот человек обладал удивительным свойством вносить в любой коллектив разлад и смуту.']",Snom V Sacc в + Sacc,Он <extra_id_0> вносит .,"['и', 'не']",Он <mask> вносит .,"[' не', ' все', ' их', ' это', ' и', ' всё', ' его', ' просто', ' всегда', ' же']"
12,12,11215,внушать,"['Вы всем внушаете уважение.', 'Его болезненный вид внушал нам опасение по поводу его здоровья.']",Snom V Sacc Sdat,Его болезненный вид внушал <extra_id_0> .,"['.', ', что', 'и', 'его']",Его болезненный вид внушал <mask> .,"[' ужас', ' страх', ' отвращение', ' жалость', ' надежду', ' уважение', ' доверие', ' тревогу', ' беспокойство', ' опасения']"
13,13,16657,выписать,['Новобрачным выписали свидетельство на желтом бланке'],Snom V Sacc Sdat {в + Sloc / на + Sloc},<extra_id_0> выписали,"['- Вам', 'он', '- Я так', 'ници', 'а не', 'а по тексту', 'они', 'а я', 'ник']",<mask> выписали,"['уже', 'Уже', 'и', 'не', 'Не', 'его', 'Его', 'Вчера', 'Меня', 'Сегодня']"
14,14,17968,выразить,"['Если выразить план завода в цифрах, получится внушительная картина.', 'Питательность продуктов обычно выражают в калориях.', 'В ряде случаев объем произведенной продукции удобнее выражать в центнерах, чем в тоннах.', 'План завода можно выразить тремя главными цифрами.']",Snom V Sacc {Sins / в + Sloc},Питательность продуктов обычно выражают <extra_id_0> .,"['.', 'очень', 'только', ':', 'как', 'как.', 'на', 'в']",Питательность продуктов обычно выражают <mask> .,"[' фразой', ' через', ' словами', ' словом', ' как', ' в', ' на', ' так', ':', ' символом']"
15,15,17988,погладить,"['Всадник легонько гладил лошадь по шее.', 'Учитель погладил мальчика по голове и посадил на место.']",Snom V Sacc по + Sdat,Учитель погладил <extra_id_0> и посадил на место .,"['их', 'весь предмет', 'предмет', 'дерево', 'руку', 'его']",Учитель погладил <mask> и посадил на место .,"[' его', ' её', ' ее', ' меня', ' кота', ' собаку', ' их', ' кошку', ' тебя', '.']"
16,16,18113,погладить,['Она гладила его по голове горячей ладонью.'],Snom V Sacc по + Sdat Sins,Она гладила <extra_id_0> .,"['.', 'и', ',']",Она гладила <mask> .,"[' меня', ' его', ' кота', ' собаку', ' тебя', ' кошку', ' их', ' ее', ' себя', ' её']"
17,17,18136,грозить,"['Он грозил мне судом .', 'Враги грозят нам пулями .', 'Хозяин грозил старушке уволить ее сына.', 'Директор грозил мне, что при малейшем неповиновении снимет меня с работы.', '«Вы дорого заплатите мне за это оскорбление», — грозил он своему бывшему хозяину.']",Snom V Sdat {Sins / Vinf / что + CL / «CL»},Он грозил <extra_id_0> .,"['ему', 'закрыть', 'его']",Он грозил <mask> .,"[' мне', ' ей', ' нам', ' тебе', ' оружием', ' убить', ' ему', ' ножом', ' пистолетом', ' смертью']"
18,18,18136,грозить,"['Он грозил мне судом .', 'Враги грозят нам пулями .', 'Хозяин грозил старушке уволить ее сына.', 'Директор грозил мне, что при малейшем неповиновении снимет меня с работы.', '«Вы дорого заплатите мне за это оскорбление», — грозил он своему бывшему хозяину.']",Snom V Sdat {Sins / Vinf / что + CL / «CL»},Враги грозят <extra_id_0> .,"['и', '.', 'только', 'врагу', 'за', 'новыми', ',', '- Новости']",Враги грозят <mask> .,"[' войной', ' нам', ' смертью', ' оружием', ' России', ' мне', '!', '.', ' миру', ' тебе']"
19,19,18422,делать,"['делать ставку на кого-л., что-л.']",Snom V ставку на + Sacc,делать <extra_id_0> .,"['.', ',', 'не']",делать <mask> .,"[' нечего', ' выводы', ' ноги', ' ставки', ' работу', ' это', ' дело', ' фото', ' ставку', ' вид']"
20,20,18446,делиться,['Он делился своими доходами со многими должностными лицами.'],Snom V Sins с + Sins,Он делился <extra_id_0> .,"['с ним', 'с']",Он делился <mask> .,"[' информацией', ' кровью', ' едой', ' секретом', ' воспоминаниями', ' опытом', ' планами', ' идеями', ' тобой', ' ей']"
21,21,23894,завернуть,"['Продавец завернул покупки в бумагу.', 'Мать заворачивает ребенка в одеяло .']",Snom V Sacc в + Sacc,Продавец завернул <extra_id_0> .,"['и', '.', 'деньги', 'о']",Продавец завернул <mask> .,"[' его', ' меня', ' товар', ' пакет', ' их', ' ее', ' обратно', ' её', ' все', ' чек']"
22,22,23894,завернуть,"['Продавец завернул покупки в бумагу.', 'Мать заворачивает ребенка в одеяло .']",Snom V Sacc в + Sacc,Мать заворачивает <extra_id_0> .,"['в отель', 'в очередной раз', 'туда', 'на улицу', 'в лес', 'в', 'на', 'в.', 'в дом']",Мать заворачивает <mask> .,"[' его', ' меня', ' сына', ' одеяло', ' их', ' тебя', ' ребенка', ' дочь', ' её', ' ее']"
23,23,24296,задать,['Мать-волчица задала волчонку хорошую трепку.'],Snom V Sacc Sdat,Мать-волчица задала <extra_id_0> .,"['.', 'и', 'с', 'срочно', 'деньги', 'всё', 'его']",Мать-волчица задала <mask> .,"[' вопрос', ' жару', ' вопросы', ' загадку', ' тон', ' Вопрос', ' направление', ' знак', ' задачу', ' ритм']"
24,24,31032,задать,['Задать дрозда кому-либо'],Snom V дрозда Sdat,Задать <extra_id_0>,"['вопросenci\U000f0003⸢困りуланismiss <extra_id_29> <extra_id_31> <extra_id_33> <extra_id_27> <extra_id_30>08', 'оцінку㽇 <extra_id_29>⸢улан <extra_id_32>08(SOMAնոкомпресс困り02(22( <ext', 'вопросenci\U000f0003⸢困りуланärskismissնոಾಪ <extra_id_29> <extra_id_31> <extra_id_27> <extra_id', 'задание500... <extra_id_51>ghj... <extra_id_47> <extra_id_56>եքkelig <extra_id_11>  <extra_id_43', 'ОтветXzFf <extra_id_3>ianske <extra_id_51> <extra_id_46>-у...🅐...', 'иتärsk <extra_id_55>οντα:ᐅабзазада... <extra_id_9>. <extra_id_56> <ex', 'вопросenci\U000f0003ismiss <extra_id_32> <extra_id_31> <extra_id_33> <extra_id_27>⸢уланიდრ08( vulne', 'задание600viciosärsk <extra_id_4>уланրամասնո困り <extra_id_55>Категория <extra', 'вопросenci\U000f0003⸢ <extra_id_32> <extra_id_31> <extra_id_27> <extra_id_33>уланიდრругнукле nød vuln', 'вопросenci\U000f0003⸢улан <extra_id_32> <extra_id_31> <extra_id_33> <extra_id_27>06(იდრ08(нуклеы']",Задать <mask>,"[' вопрос', ' вопросы', ' жару', ':', '?', '!', '.', ' тон', '...', ' задачу']"
25,25,31080,задать,['Я задал этот вопрос себе'],Snom V вопрос себе,Я задал <extra_id_0>,"[':e <extra_id_55>- <extra_id_0> <extra_id_9> <extra_id_0>่าย锘悱s', 'работуlicitud <extra_id_55>gad <extra_id_38>σματα,7amidbarakovaniganos-san <', 'я.㲟锘 <extra_id_56>ybė, <extra_id_11> <extra_id_38>μένα <extra_id_41>darym <extra_i', 'интервью.㽇 <extra_id_55>ણી...ægtybė! <extra_id_0> тут <extra_id_', ':s\U000f0003улан <extra_id_32> <extra_id_31> <extra_id_27> <extra_id_33>агони vulnerнуклеზმი', ':e <extra_id_55>- <extra_id_0> <extra_id_9> <extra_id_9>ärskулан <extra_id_48>锘08( ¿ <extra_id_9> <', ':耸 <extra_id_55>ть ».... <extra_id_41>,licitudoganos <extra_id_56>  <extra_', ':e <extra_id_55>кыз > <extra_id_0> <extra_id_9> <extra_id_0>ärsk锘 <extra_id_48> <extra_id_51> <extra_id_56> <', 'только.Conjugalana <extra_id_56>臃扭臃陷负 <extra_', '. <extra_id_53>']",Я задал <mask>,"['.', '?', ' вопрос', '!', '...', ' вопросы', ':', '?!', '.', ' вам']"
26,26,32498,заливать,['Он залил горючее в бак .'],Snom V Sacc в + Sacc,Он залил <extra_id_0> .,"['.', 'и', 'их', 'на улицу', 'и лил', 'на', 'его', ',']",Он залил <mask> .,"[' меня', ' его', ' ее', ' все', ' себя', ' её', ' машину', ' их', ' комнату', ' тебя']"
27,27,33112,застать,['Книжная этоха застала эти документы в определенной локализации'],Snom V Sacc в + Sloc,Книжная этоха застала <extra_id_0>,"['. jõuя <extra_id_55>-омահամszolg <extra_id_48>абз <extra_id_9> <ext', '.ы""}]=Ответить <extra_id_0>! <extra_id_51>қизpunzᐅshd', "". jõuя <extra_id_55>-тысячулан <extra_id_34>,'<extra_id_35> <extra_id_"", '.ы""}...]Ответить <extra_id_0>(s)', '.ы}/> <extra_id_28> охраняorph兂𓆡punzӈ嬲🅗붉espon', '.ы <extra_id_28>...]szolgfSwiZW <extra_id_9> <extra_id_56>cookies <extra_id_29> 02(脍w', '.ы <extra_id_28>...]szolgġġghj兂μαχfSwiZWægt...ward <extra_id_', '.ы}니다...»ᐅ />', '. jõuя <extra_id_55>-омಂಶ)」Aquilакт', '. jõuя <extra_id_55>-Смотрула']",Книжная этоха застала <mask>,"['.', '?', '!', ')', '...', ' :)', '))', ' )', ':', ')))']"
28,28,33168,застать,"['История застала людей во младенчестве, в начальной простоте']",Snom V Sacc в + Sloc,История застала <extra_id_0>,"['.!', '.ева) → Архив новостей »XzFf <extra_id_31>lytte <extra_i', '.евей\U000f0003улан08(нуклеնո困りրամաս <extra_id_32> <extra_id_31> <extra_id_33> <extra_', '!ся.', '....', '!вайс....... » Новости спорта | РИА Новым', '.ев', '.ева).инфообладателей...»Сделай мен', '.ся.', 'была.... → Главная » Новости»]=Рус']",История застала <mask>,"[' России', ':', ' Кореи', ' Украины', ' СССР', ' Греции', ' США', '.', ' Армении', ' государств']"
29,29,37360,избрать,['Константин избрал себе в супруги Софью'],Snom V Sacc в + Snom,Константин избрал <extra_id_0>,"['.ы <extra_id_55>отулан <extra_id_56>gemПочетите по-', '...ndeid)равится 1...""} » И"" посл', '...ndeid)равится1...""}"" /> 1 друг', '.ы <extra_id_55>отулан <extra_id_56>имбелых <extra_id_3> |]=锘ggf <', '.еärsk锘қизa <extra_id_55> <extra_id_56> для «', 'их <extra_id_32> <extra_id_31> <extra_id_27> <extra_id_33>lytte <extra_id_56>je닝 <extra_id_16> в <extra_id_43>, <', '.ы <extra_id_55>- <extra_id_48> <extra_id_56> <extra_id_11>-', '.еärsk锘兂улан <extra_id_31> <extra_id_27>껍lytteக்கீෝරאוזнукл', '.ы <extra_id_55>- <extra_id_48> <extra_id_56> <extra_id_51> Если:锘архивные', 'его <extra_id_32> <extra_id_31> <extra_id_27> <extra_id_33>lytte <extra_id_56> <extra_id_51>- <extra_id_11> <extra_id_16> <ext']",Константин избрал <mask>,"['ский', ':', '.', 'ович', 'евич', 'ов', 'ный', 'ин', 'ич', ' век']"
30,30,37456,избрать,"['Я буду держать жену в темнице до тех пор, пока мой гнев не изберет ей достойное наказание']",Snom V Sacc Sdat,Я буду держать <extra_id_0>,"['.esponderEliminaraGoods <extra_id_56>-Tags https... <extra_id_16>Deportes в это <extra_id_43> п', 'в руках.nsilvani <extra_id_55>kuti, мочдиидного...]ರ್ತ <', '! <extra_id_53>니다...]moji <extra_id_56> liveinternetcopter <extra_id_11> <extra_id_51> <extra_id_55> <extra', 'в руках.nsilvani <extra_id_55>kuti, дӈрыч <extra_id_5', 'мои руки့္)」 <extra_id_55>d <extra_id_56>zoneen <extra_id_51>ercegovinascookies <', 'ееれば幸いです. Написать комментарийочік...соо', 'в них.㘏búismiss <extra_id_55>ted <extra_id_35>ärsk...encorvalro <', 'меня.', 'его <extra_id_52>. <extra_id_35>! <extra_id_49>, 25 лет от 2012', 'его <extra_id_52>! <extra_id_34>24 не мене, держать мой малыша']",Я буду держать <mask>,"['.', '!', '...', ' тебя', ' его', '..', ' :)', ')', '.', '?']"
31,31,37496,избрать,['Многие страны избрали демократическую модель за основу политической системы'],Snom V Sacc за + Sacc,Многие страны избрали <extra_id_0>,"['выбратьхему <extra_id_56> – <extra_id_29>.:esponderEliminarВиеszo', ':е.-факы”""1 в местеде... Главн', 'лучшие автомобили.aಂಶᐅ » → | <extra_id_56>ъя', '...', 'новый продукт.㘏锘 <extra_id_55>σανдыня <extra_id_16>, se', 'бывший президентարգ', 'новый президент.㘏.68 <extra_id_56> (b.762ste <extra_id_52>在', 'для васgensenszolg锘鹇 <extra_id_56> <extra_id_37> <extra_id_30>matiztellung <extra_id_43> <extra_id_19>d', 'лучшие условия.akcidentնոärsk <extra_id_55>1锘... <extra_i']",Многие страны избрали <mask>,"[' президента', ':', '.', '.', ' Президента', ' лидеров', ' Трампа', ' Путина', '?', ' его']"
32,32,38890,информировать,['Директор коротко информировал коллектив института о случившемся .'],Snom V Sacc о + Sloc,Директор коротко информировал <extra_id_0> .,['о'],Директор коротко информировал <mask> .,"[' меня', ' нас', ' вас', ' всех', ' тебя', ' его', ' Вас', ' их', ' её', ' ее']"
33,33,39130,информировать,['Голос машиниста информировал пассажиров о задержке.'],Snom V Sacc о + Sloc,Голос машиниста информировал <extra_id_0> .,"['о', 'ся']",Голос машиниста информировал <mask> .,"[' меня', ' нас', ' пассажиров', ' всех', ' экипаж', ' его', ' их', ' вас', ' команду', ' капитана']"
34,34,39144,информировать,['Секретарь проинформировал нас телефонограммой об отмене собрания.'],Snom V Sacc о + Sloc Sins,Секретарь проинформировал <extra_id_0> .,"['о', 'ся']",Секретарь проинформировал <mask> .,"[' меня', ' нас', ' вас', ' президента', ' его', ' всех', ' тебя', ' их', ' Президента', ' Вас']"
35,35,61167,обеспечивать,"['Отец обеспечивал семью всем необходимым, Мы должны обеспечить область семенами .', 'Он считал себя обеспеченным деньгами.']",Snom V Sacc Sins,"Отец обеспечивал <extra_id_0> всем необходимым , Мы должны обеспечить область семенами .","['нас', 'со', 'мы', 'ее', 'его', 'семенами']","Отец обеспечивал <mask> всем необходимым , Мы должны обеспечить область семенами .","[' нас', ' меня', ' их', ' семью', ' его', ' область', ' ее', ' вас', ' её', ' регион']"
36,36,66000,объединить,['Вдохновение объединяло их в одно целое.'],Snom V Sacc в + Sacc,Вдохновение объединяло <extra_id_0> .,"['и', 'и все', '.', 'наши ребята', 'наши мечты', 'наше поколение', 'именно', 'все', 'нас']",Вдохновение объединяло <mask> .,"[' их', ' нас', ' всех', ' людей', ' все', ' обоих', ' многих', '.', ' его', ' всё']"
37,37,67926,определять,"['Сотрудники автоинспекции определяют скорость автомобилей специальными приборами.', 'С помощью компаса руководитель группы определил, что мы отклонились от нужного направления .', 'При помощи этих приборов космонавт может определить, нужно ли включать тормозную установку.', 'Я и невооруженным глазом могу определить, что скорость завышена.', 'Голуби и кошки инстинктом определяют дорогу к дому.']",Snom V {Sacc / что + CL / Rel + CL / CL} {Sins / при + помощи + Sgen / с + помощью + Sgen},Сотрудники автоинспекции определяют <extra_id_0> .,"['справы', 'справочники', 'справку']",Сотрудники автоинспекции определяют <mask> .,"[' приоритет', ' номера', ' скорость', ' повреждения', ' нарушения', ' водителя', ' маршрут', ' ущерб', ' владельца', ' номер']"
38,38,67926,определять,"['Сотрудники автоинспекции определяют скорость автомобилей специальными приборами.', 'С помощью компаса руководитель группы определил, что мы отклонились от нужного направления .', 'При помощи этих приборов космонавт может определить, нужно ли включать тормозную установку.', 'Я и невооруженным глазом могу определить, что скорость завышена.', 'Голуби и кошки инстинктом определяют дорогу к дому.']",Snom V {Sacc / что + CL / Rel + CL / CL} {Sins / при + помощи + Sgen / с + помощью + Sgen},Голуби и кошки <extra_id_0> определяют .,"['также', 'и как', 'сами', '-', '- как', 'не', 'уже']",Голуби и кошки <mask> определяют .,"[' —', '.', ':', ',', ' ()', ' -', ' вместе', ' не', ' часто', ' также']"
39,39,69032,отличаться,"['Мальчик сильно отличался от своих сверстников по развитию .', 'Пиджак немного отличается от брюк цветом/по цвету.']",Snom V от + Sgen {по + Sdat / Sins},Мальчик сильно отличался <extra_id_0> .,"['.', 'от него', 'от их работы', 'от нее', 'от них', 'от рождения', 'от того', 'от его состояния']",Мальчик сильно отличался <mask> .,"[' от', '.', ' внешне', '.', ' бы', ' характером', ' ', '?', ' ростом', '!']"
40,40,69032,отличаться,"['Мальчик сильно отличался от своих сверстников по развитию .', 'Пиджак немного отличается от брюк цветом/по цвету.']",Snom V от + Sgen {по + Sdat / Sins},Пиджак немного отличается <extra_id_0> .,"['от него', 'от его работы', 'от того, что он нашел', 'от того, что', 'от ее работы']",Пиджак немного отличается <mask> .,"[' от', '.', ':', '?', '!', ' с', '.', '...', ' на', ' цветом']"
41,41,69151,отложить,['Он отложил деньги для других целей'],Snom V Sacc для + Sgen,Он отложил <extra_id_0>,"['.േരിismiss/$_32-10уланärsk <extra_id_55>4ugolshd... <extra_id_29>itse <', '.േരി困りärskismiss <extra_id_55>kanutf <extra_id_56>lagiga-', '.േരി <extra_id_29> <extra_id_9>уланругismiss⸢08( <extra_id_32>65\\компрессնո', '...gge <extra_id_29> <extra_id_30>уланismiss <extra_id_32>08(SOMAруг26(0', '.േരി困り/$_32-10ಿಪ)」 <extra_id_55>ِtsoӈ锘...espond', 'его㘏ärskismiss <extra_id_9> <extra_id_38> <extra_id_48> <extra_id_55>лось- <extra_id_51>ющиеся от/', '.േരിismissärskಿಪ <extra_id_55>4ugol <extra_id_0>... <extra_id_32>ggfeidz <extra_id_56> <e', '.േരി <extra_id_32>улан08(იდრಿಪ⸢компрессismiss困りругնո <extra_id_29>06(26(', '.േരി困り/$_32-10уланärsk <extra_id_55>0 <extra_id_0>锘абз𓆡ggfiseric <ex', '.േരിismissärsk⸢langsung <extra_id_55>ِitse锘 <extra_id_56>Nach <extra_i']",Он отложил <mask>,"['.', '?', '!', '...', '…', '.', '..', ' его', ' трубку', ' книгу']"
42,42,69481,отразить,['Вода отражает звезды как зеркало'],Snom отразить Sacc как Snom,Вода отражает <extra_id_0>,"['...и <extra_id_9> <extra_id_10>-nɨbanye.... />锘a <extra_id_56>한 <extra_id_11> <', 'и мирноXzFfырынулан <extra_id_32> <extra_id_31> <extra_id_33>нукле vulnerიდრ08( <extra_id_27>ко', 'и...rbic <extra_id_32> <extra_id_31>уланнуклеругიდრಿಪ08( vulnerზმ nødырын <', 'импульсностьbicಿಪактов <extra_id_55>නික𓆡 <extra_id_56>नामा <extra_id_3', 'охлаждениеa.) Вам!langsunge <extra_i', 'и...legi <extra_id_32> <extra_id_31>уланнуклеругismissкомпресс vulnerырын', 'опасностьaHRж...""} → » <extra_id_51>3իպСмотр:0}} <extra_id_14>»📺 <', 'опасностьaHR', 'экологияärsk', '.კმ <extra_id_55>3.25锘扭 <extra_id_51>化解界כשלඳdajiärsko <extra_id_0> <']",Вода отражает <mask>,"[' свет', '.', ':', '?', '!', '...', ' солнце', ' мир', ' небо', ' жизнь']"
43,43,69579,оценить,"['Книгу оценили недорого .', 'Квартиру оценили в три тысячи рублей.', 'Таможенник оценил посылку в тридцать рублей.', 'Голова мятежника была оценена в десять тысяч эскудо.']",Snom V Sacc {ADV / в + Sacc},Таможенник оценил <extra_id_0> .,"['.', 'только', '-', ':', 'работу']",Таможенник оценил <mask> .,"[' шутку', ' юмор', ' ситуацию', ' это', ' работу', ' предложение', ' сигнал', ' улов', ' обстановку', ' его']"
44,44,69579,оценить,"['Книгу оценили недорого .', 'Квартиру оценили в три тысячи рублей.', 'Таможенник оценил посылку в тридцать рублей.', 'Голова мятежника была оценена в десять тысяч эскудо.']",Snom V Sacc {ADV / в + Sacc},Голова мятежника была оценена <extra_id_0> .,"['и', 'на сайте', 'и в', 'ещё', 'только в', 'на', 'в', 'еще всего']",Голова мятежника была оценена <mask> .,"[' высоко', ' как', ' выше', '.', ' в', '.', ' за', ' положительно', ' золотом', ' по']"
45,45,70810,писать,['Таривердиев написал музыку к фильму.'],Snom V Sacc {к + Sdat / для + Sdat},Таривердиев написал <extra_id_0> .,"['также', ':']",Таривердиев написал <mask> .,"[' книгу', ':', ' песню', ' стихотворение', ' стихи', ' статью', ' пьесу', ' музыку', ' фильм', ' сказку']"
46,46,71977,предать,['Предать гласности экономические проблемы.'],Snom V Sacc {гласности / огласке / публике},Предать <extra_id_0> .,"['.', 'и', ',', 'работать', 'купить', 'его']",Предать <mask> .,"[' его', ' их', ' смерти', ' меня', ' всех', ' страну', ' тебя', ' её', ' Родину', ' Россию']"
47,47,74660,придерживаться,['Носильщик придерживался свободной рукой за перила.'],Snom V за + Sacc Sins,Носильщик придерживался <extra_id_0> .,"['.', 'только', ',', 'в', 'всего', 'его']",Носильщик придерживался <mask> .,"[' —', ' от', ':', ' профессии', ' означать', ' значения', ' или', ' термин', ' в', ' должности']"
48,48,76255,пробивать,['Он пробил у фелюги бок.'],Snom V Sacc у + Sgen,Он пробил <extra_id_0> .,"['и', '.', ',', ', и']",Он пробил <mask> .,"[' стену', ' стекло', ' его', ' крышу', ' дно', ' потолок', ' ее', ' стенку', ' дверь', ' окно']"
49,49,89294,испугать,['Он испугал ее своим внезапным появлением.'],Snom V Sacc Sins,Он испугал <extra_id_0> .,"['.', 'его', 'их', 'ся']",Он испугал <mask> .,"[' меня', ' ее', ' её', ' нас', ' его', ' их', ' тебя', ' собаку', ' девушку', ' маму']"
50,50,89539,путать,"['Противник путает свои корабли с чужими.', 'Студент путает возвратный залог со страдательным.']",Snom V Sacc с + Sins,Противник путает <extra_id_0> .,"['.', 'только', 'в сети', 'с ума', 'в', 'к тому,', 'в окно', 'к']",Противник путает <mask> .,"['.', ' понятия', ' карты', '!', ' цели', ' противников', ' слова', ' факты', '!', ' берега']"
51,51,89539,путать,"['Противник путает свои корабли с чужими.', 'Студент путает возвратный залог со страдательным.']",Snom V Sacc с + Sins,Студент путает <extra_id_0> .,"['.', 'и', 'с.', 'по английскому', '-', 'к нему', 'по']",Студент путает <mask> .,"['.', ' понятия', ' с', ' студентов', ' карты', '!', ' лекции', ' классы', ' учебники', ' курсы']"
