	sentence	pair	agent_index	verb_index
96	Крис Кристофферсон настоящий Альфред во вселенной Блэйда Исключительно атмосферный наставник получился С кучей вредных привычек заросший как прожженный металист по-своему любящий своего ученика и чуть ли не единственного друга	наставник получился	9	10
97	Молодой наглый эгоистичный и самонадеянный вампир вышел у него на пять	вампир вышел	5	6
98	Именно благодаря этому легендарный Блэйд вынужден объединиться со своими кровными врагами Кровавой Стаей элитным отрядом вампиров воинов	Блэйд вынужден	4	5
99	Сиквел получился более мрачным но не менее эффектным	Сиквел получился	0	1
100	Махач снятый без обилия компьютерной графики получился шустрым прямо как в первой части	Махач снятый	0	1
101	Когда у меня лет 10 назад появился видеомагнитофон и записанная вручную кассета с фильмом я пересматривал Служебный роман чуть ли ни каждый день	я пересматривал	14	15
102	Хотя подобная история отношений с творением Рязанова неуникальна наверное каждый второй может подтвердить мои слова С некоторых пор мне стало казаться что Рязанов это искусный повар создавший из будничных ингредиентов что-то диковинное и потрясающее воображение	повар создавший	25	26
103	Щепотка того капелька другого и либо ваше блюдо становится шедевром либо омерзительной никуда не годной похлебкой	блюдо становится	7	8
104	Я кланяюсь перед Эльдаром Александровичем но без какой-то робости появляющейся при виде вышестоящего	Я кланяюсь	0	1
105	Рязанов гений безусловно но как говорится гений из народа Ведь только такой человек может сотворить из будней праздник	человек может	12	13
106	Да вы станете одним из многочисленных больных почитателей	вы станете	1	2
107	Все мы знаем эту замечательную киноленту наизусть если есть такие кто не знает то стоит обязательно посмотреть	мы знаем	1	2
108	Ему неустанно хочется петь дифирамбы Меня вчера муха укусила Да	муха укусила	7	8
109	Вы мне льстите Вера Вам все льстят Об актёрском составе даже и говорить не стоит он великолепен и изумителен	все льстят	5	6
110	Фашизм совершил преступление не только против других народов но и прежде всего против своего	Фашизм совершил	0	1
111	Техника была несовершенная но техника актерского состава на высоте	Техника была	0	1
112	И не только потому что актеры репетировали но и за счет ВЕЛИКОГО таланта каждого	актеры репетировали	5	6
113	Тихонов не просто ходит молчит смотрит на небо он показывает внутренний мир своего героя в каждом движении чувствуется интеллигентность ум и чувство собственного достоинства	он показывает	8	9
114	А Гитлера и Чарли Чаплин играл может и его форму рассмотрим детально	Чаплин играл	4	5
115	Тем кто усматривает неточности в немецкой форме ее цвету и фасону пусть посмотрят на сегодняшние фильмы где не только немецкая форма не соответствует годам а советская спутана неимоверно и несоответствие чудовищное рядовые не могут нормально честь отдать рука у молодых бойцов только по американскому варианту идет	кто усматривает	1	2
116	Не надо ребята строить из себя знатоков фашисткой моды НЕ ФОРМА важна а содержание	ребята строить	2	3
117	Одна шифровка может решить исход многолетней войны	шифровка может	1	2
118	Одно донесение может передать инициативу на поле боя	донесение может	1	2
119	Скажи мне Лена во сколько ты будешь завтра в общаге	ты будешь	5	6
120	у меня касабиева я приеду может к часу может к двум	я приеду	3	4
121	Я честно говоря не уверен что сейчас все это происходит не во сне	это происходит	8	9
122	И на кого ты злишься если не секрет	ты злишься	3	4
123	Как нехорошо с его стороны Ужжжжасно я считаю просто ни в какие рамки	я считаю	6	7
124	Насколько я помню весьма и весьма неплохо	я помню	1	2
125	пойду Липгарта поделаю Да думаю тебе пора делать Липгарта Удачи в сем трудном деле	пора делать	6	7
126	не знаю как вы воспримите сию информацию но мы с Аней замутили очередное убивание правда не столь экстремальное как обычно	вы воспримите	3	4
127	По сути оно является репетицией похода до Орехова	оно является	2	3
128	Там живут Анины бабушка с дедушкой Путь лежит по приятной сельской местности Займет часов 5	Путь лежит	6	7
129	ну клево Я чувствую себя туроператором Ха-ха	Я чувствую	2	3
130	Филфаковский табун идет прыгать с парашютом называется	табун идет	1	2
131	У меня в ЖЖ пост про то как люди развлекаются боюсь до такого нам пока что далеко	люди развлекаются	8	9
132	Да Ыыыыы смешарики смотришь Угу	смешарики смотришь	2	3
133	Но тогда серия про приятные новости просто один сплошной черный юмор как Крош измывается Ежиком и Барашем	Крош измывается	12	13
134	помню Ты говорил Ага хорошо	Ты говорил	1	2
135	Да спасибо надеюсь погода будет летная А то сегодня пока гуляли превратились в сугробы	погода будет	3	4
136	Там сидели три аспиранта Косиков пришел на 2 часа позже И как	Косиков пришел	4	5
137	Да билеты те самые которые ты давал Мне достался 12 билет	ты давал	5	6
138	щас как раз пытаюсь что что-нибудь о ГиП выцедить	раз пытаюсь	2	3
139	И нормально то есть в принципе можно Ну я что-то взяла	то есть	2	3
140	а так все шло к 5 ну и ладно	все шло	2	3
141	он постоянно говорил щас я вам задам вопрос я отвечала	я отвечала	8	9
142	и еще могли спрашивать кто был типа последователь	кто был	4	5
143	я не вспомнила на каком диалекте он писал	он писал	6	7
144	То есть самому не особо дают отвечать	То есть	0	1
145	он будет спрашивать по всему списку или по тому что он нам на лекции диктовал	он будет	0	1
146	это же дьявольская разница блин В чем разница выражается например Нууу	разница выражается	7	8
147	Есть одна аспирантка Она будет принимать у нас датский Ой нет оговорился зарубежку	Она будет	3	4
148	И по совпадению она интересуется датским языком и ходит с нами на датский	она интересуется	3	4
149	Черт я конечно могу не давать но когда меня в лоб спрашивают знаю ли я отвечаю знаю	я отвечаю	14	15
150	вот и я поддалась под всеобщее влияние	я поддалась	2	3
151	не знаю что он имел в виду под цепью бытия	он имел	3	4
152	как ибо никак нельзя Шенявская припомнит А списать не дадут	Шенявская припомнит	4	5
153	в чем собственно и проблема проблема поменьше чтобы можно было списать с тетради нужно Чтобы там что-то было Чем я собственно и занимаюсь	что-то было	16	17
154	вот как а у меня в принципе все есть	все есть	7	8
155	Ага и я вот думаю что с этим делать Я знаю что с этим делать Насчет тетрадей с лекциями я еще не беспокоился но достать можно но есть путь еще изощренней	Я знаю	9	10
156	С минуты на минуты ко мне должны поступить фотки вариантов заданий у тех кто сдавал ее в пятницу	кто сдавал	13	14
157	Конечно не факт что мы будем писать то же но мне кажется что то же	мы будем	4	5
158	Ну я думаю это глупо и несправедливо	я думаю	1	2
159	Я сказал это лишь для того чтобы раззадорить тебя	Я сказал	0	1
160	далеко не все можно различить некоторые фотки просто смазаны но посылаю всё там хоть что-то можно понять все равно даже просто для того чтобы иметь представление о том что будет	что будет	28	29
161	Я имею в виду кроме этого гребаного философического письма	Я имею	0	1
162	Вопрос выдержит ли это мой скромный мозг	Вопрос выдержит	0	1
163	Одно А почему оно значится как первое А хотя нет	оно значится	3	4
164	О помойму восемь Ты будешь это все читать Уже приступил и закончил	Ты будешь	3	4
165	Уже приступил и закончил Что я могу сказать кант безусловно талантливее	я могу	5	6
166	тогда на конспекты я потратил две общие тетради	я потратил	3	4
167	А ты знаешь про эту поэму чтонить и ваще что надо про нее знать	ты знаешь	1	2
168	и после этого гоголь уехал в Германию	гоголь уехал	3	4
169	Вопрос слышал ли об этом воропаев s	Вопрос слышал	0	1
170	Кстати о вопросе Пушкин и святитель Филарет митрополит Московский ты надумал что можно сказать Да	ты надумал	9	10
171	Я нашел несколько упоминаний об их т н диалоге	Я нашел	0	1
172	так первое что выдал Яндекс это Авраам Руссо Порок и разврат правят миром имена великих забываются	разврат правят	10	11
173	имена великих забываются И насколько ты продвинулась в воропаеве Хм	ты продвинулась	5	6
174	Все-таки приятно осознавать что некоторые вопросы я помню еще со времен поступления	я помню	6	7
175	в этом плане да и кстати про Горби я тоже вот сегодня как раз вспоминала захотелось так посидеть на его лекции	раз вспоминала	13	14
176	О то что голос был убаюкивающим это да	голос был	3	4
177	Ведешь свою жизнь сам все зависит только от тебя и от никого больше	все зависит	4	5
178	В принципе эти пункты вытекают один из другого и можно сказать эквивалентны но я их все-таки выделил для наглядности типа с разных точек зрения	пункты вытекают	3	4
179	Но с другой стороны если в школе ты учишься плохо и тебя вытягивают то тут ты в принципе без дополнительной платы особо никому не нужен и так вытягивать тебя никто не будет	ты учишься	7	8
180	тем что в школе учатся а в институте парятся я даже не знаю везде свои плюсы есть	плюсы есть	15	16
181	в школе все было как-то проще не в предметах а вообще а в институте полная свобода	все было	2	3
182	Если человека тянули все время то он получается уже привык к этому ПРИВЫК к опеке	он получается	6	7
183	Все равно переход от школы к универу предполагает уменьшение степени опеки и люди по-своему каждый переживают это одни не изменяют принципам другие расклеиваются	каждый переживают	14	15
184	У меня с двумя двоюродными сестрами то же моя тетя стояла с раскрытым ртом и стеклянными глазами когда ей ВДРУГ позвонили и сказали что	тетя стояла	9	10
185	Дальше полтора года сущий ад прогульщики и халявщики вылетели все	халявщики вылетели	7	8
186	Предложена новая методика решения конечной системы уравнений не требующая малости значений скачков фазы на всех ячейках вихря что позволяет применять её при любых значениях параметра пиннинга I вплоть до нуля	что позволяет	17	18
187	При I 0 3 можно считать что весь вихрь целиком умещается в квадрате 5 x 5 ячеек при меньших значениях I его энергия может быть представлена как сумма энергий малого по размеру дискретного остова и квазинепрерывной внешней части	энергия может	22	23
188	Энергия остова сопоставима с энергией наружной части а при не слишком малых значениях I именно она вносит основной вклад в энергию вихря	она вносит	15	16
189	Излучение анализировалось в диапазоне длин волн 220 600 nm из пространственных областей удалённых от мишени на r 1 и 7 mm	Излучение анализировалось	0	1
190	Результаты исследования показывают что процесс передачи возбуждения от одного иона эрбия другому относительно медленный что объясняет слабую эффективность возбуждения эрбия при импульсной накачке в матрице SiO 2 включающей нанокристаллы кремния	что объясняет	14	15
191	Приводятся первые результаты полученные при создании одномерных сегнетоэлектрических фотонных кристаллов на основе наноструктурированного цирконата титаната свинца и пористого кремния	результаты полученные	2	3
192	Образцы характеризовались методами спектроскопии линейного коэффициента отражения и спектроскопии второй оптической гармоники	Образцы характеризовались	0	1
193	В древнем погребе стокгольмского ресторана Диана я обнаружил 11 видов маринованной селёдки и когда попробовал все сил осталось только на копчёный олений язык	я обнаружил	6	7
194	Датчане сосредоточились на идее бутерброда доведя эту банальность до художественного совершенства как Энди Уорхол консервы постмодернистски нагружая на ржаной хлеб сочетание креветок горчицы и клубники да ещё настаивая на том что это вкусно	Датчане сосредоточились	0	1
195	Здесь изобретательно обходятся и с другой рыбой я целенаправленно искал и нашёл ракёррет форель которую год что ли выдерживают под землёй куда там омулю с душком не всякий выдержит	всякий выдержит	27	28
196	Есть ещё лутефиск-треска в поташе это карбонат калия кто забыл химию	кто забыл	8	9
197	Я ел кита в бергенском ресторане пусть от меня теперь отвернётся Бриджит Бардо и прочая Лига защиты животных	Я ел	0	1
198	Цвет зависит от сорта но прежде всего от способа приготовления	Цвет зависит	0	1
199	В Норвегии я испробовал шестнадцать варианты рыбы сырой солёной маринованной копчёной варёной жареной паровой запечённой	я испробовал	2	3
200	Ещё в начале века сезонные рабочие включали в договор пункт обязывающий нанимателя подавать лососину не чаще двух раз в неделю	рабочие включали	5	6
201	Так у Гиляровского волжские бурлаки предпочитают воблу чёрной икре Обрыдла	бурлаки предпочитают	4	5
202	O Дюма который провёл в Российской империи девять месяцев и всё это время находился под наблюдением докладывает из Москвы генерал-лейтенант Перфильев Он имеет страсть приготовлять сам на кухне кушанья и говорят мастер этого дела	Он имеет	21	22
203	Дюма разведал секреты готовки стерляди на Волге ездил в Переславль за селёдкой оценил сырую конину и отверг кумыс одобрил шашлык в Дагестане и Чечне в Поти варил бульон из вороны	Дюма разведал	0	1
204	Решив в ожидании парохода устроить прощальный обед Дюма оказался в затруднении Сначала меня занимал вопрос как сделать бульон без говядины её у меня не было	Дюма оказался	7	8
